ar,ar_smoothed,eps,index
0.155172,0.094465,0.203182,347
0.154728,0.0925757,0.202693,348
0.154286,0.0907241,0.202207,349
0.153846,0.0889097,0.201725,350
0.153409,0.0871315,0.201245,351
0.152975,0.0853888,0.20077,352
0.152542,0.0836811,0.200297,353
0.152113,0.0820074,0.199828,354
0.151685,0.0803673,0.199362,355
0.154062,0.0987599,0.1989,356
0.153631,0.0967847,0.198456,357
0.153203,0.094849,0.198015,358
0.152778,0.0929521,0.197578,359
0.152355,0.091093,0.197143,360
0.151934,0.0892712,0.196712,361
0.151515,0.0874857,0.196284,362
0.151099,0.085736,0.195858,363
0.150685,0.0840213,0.195436,364
0.150273,0.0823409,0.195017,365
0.149864,0.0806941,0.1946,366
0.149457,0.0790802,0.194187,367
0.149051,0.0774986,0.193777,368
0.148649,0.0759486,0.19337,369
0.148248,0.0744296,0.192966,370
0.147849,0.072941,0.192565,371
0.147453,0.0714822,0.192167,372
0.147059,0.0700526,0.191771,373
0.146667,0.0686515,0.191379,374
0.146277,0.0672785,0.19099,375
0.148541,0.0859329,0.190604,376
0.148148,0.0842143,0.190232,377
0.147757,0.08253,0.189863,378
0.15,0.100879,0.189497,379
0.149606,0.0988618,0.189144,380
0.149215,0.0968846,0.188794,381
0.148825,0.0949469,0.188447,382
0.148438,0.0930479,0.188102,383
0.150649,0.111187,0.187759,384
0.150259,0.108963,0.18743,385
0.149871,0.106784,0.187102,386
0.149485,0.104648,0.186777,387
0.1491,0.102555,0.186455,388
0.148718,0.100504,0.186134,389
0.148338,0.0984941,0.185816,390
0.147959,0.0965242,0.185501,391
0.147583,0.0945938,0.185187,392
0.147208,0.0927019,0.184876,393
0.149367,0.110848,0.184567,394
0.14899,0.108631,0.18427,395
0.148615,0.106458,0.183974,396
0.148241,0.104329,0.183681,397
0.14787,0.102243,0.18339,398
0.1475,0.100198,0.183101,399
0.147132,0.0981937,0.182814,400
0.146766,0.0962298,0.182529,401
0.146402,0.0943053,0.182246,402
0.14604,0.0924191,0.181966,403
0.145679,0.0905708,0.181687,404
0.147783,0.108759,0.181411,405
0.14742,0.106584,0.181144,406
0.147059,0.104452,0.180879,407
0.146699,0.102363,0.180616,408
0.146341,0.100316,0.180355,409
0.145985,0.0983098,0.180096,410
0.145631,0.0963436,0.179839,411
0.145278,0.0944168,0.179584,412
0.144928,0.0925284,0.17933,413
0.144578,0.0906779,0.179079,414
0.144231,0.0888643,0.178829,415
0.143885,0.087087,0.178582,416
0.143541,0.0853453,0.178336,417
0.145585,0.103638,0.178092,418
0.145238,0.101566,0.177856,419
0.144893,0.0995343,0.177622,420
0.14455,0.0975436,0.17739,421
0.146572,0.115593,0.17716,422
0.146226,0.113281,0.176937,423
0.145882,0.111015,0.176716,424
0.14554,0.108795,0.176496,425
0.145199,0.106619,0.176278,426
0.14486,0.104487,0.176062,427
0.144522,0.102397,0.175847,428
0.144186,0.100349,0.175634,429
0.143852,0.098342,0.175423,430
0.143519,0.0963752,0.175213,431
0.145497,0.114448,0.175005,432
0.145161,0.112159,0.174803,433
0.144828,0.109916,0.174603,434
0.144495,0.107717,0.174405,435
0.146453,0.125563,0.174208,436
0.146119,0.123052,0.174017,437
0.145786,0.120591,0.173828,438
0.145455,0.118179,0.17364,439
0.145125,0.115815,0.173454,440
0.147059,0.133499,0.173269,441
0.146727,0.130829,0.17309,442
0.146396,0.128212,0.172912,443
0.146067,0.125648,0.172736,444
0.14574,0.123135,0.172561,445
0.147651,0.140672,0.172387,446
0.147321,0.137859,0.172219,447
0.146993,0.135102,0.172052,448
0.146667,0.1324,0.171886,449
0.146341,0.129752,0.171721,450
0.14823,0.147157,0.171558,451
0.15011,0.164214,0.1714,452
0.14978,0.160929,0.171247,453
0.149451,0.157711,0.171095,454
0.151316,0.174557,0.170944,455
0.150985,0.171065,0.170798,456
0.152838,0.187644,0.170653,457
0.152505,0.183891,0.170513,458
0.152174,0.180213,0.170374,459
0.151844,0.176609,0.170236,460
0.151515,0.173077,0.170098,461
0.151188,0.169615,0.169962,462
0.150862,0.166223,0.169827,463
0.152688,0.182899,0.169692,464
0.154506,0.199241,0.169562,465
0.154176,0.195256,0.169436,466
0.153846,0.191351,0.169311,467
0.153518,0.187524,0.169187,468
0.153191,0.183773,0.169064,469
0.152866,0.180098,0.168941,470
