state	C__sierra_leone	R0__sierra_leone	phi__sierra_leone	rho__sierra_leone
13734	93.8847	1.28148	0.366655	0.583112
13735	117.915	1.38684	0.217784	0.427466
13736	79.4843	1.32129	0.247407	0.673437
13737	109.522	1.35016	0.133165	0.501132
13738	77.9467	1.37597	0.161213	0.606443
13739	83.778	1.32591	0.144432	0.633535
13740	83.778	1.32591	0.144432	0.633535
13741	83.778	1.32591	0.144432	0.633535
13742	83.778	1.32591	0.144432	0.633535
13743	89.1034	1.36741	0.156167	0.546492
13744	89.1034	1.36741	0.156167	0.546492
13745	89.1034	1.36741	0.156167	0.546492
13746	88.6736	1.40255	0.274816	0.505952
13747	87.1319	1.37639	0.297622	0.503867
13748	87.1319	1.37639	0.297622	0.503867
13749	72.5692	1.38274	0.256233	0.581978
13750	69.5843	1.29653	0.325109	0.705103
13751	69.6332	1.29288	0.348898	0.68758
13752	123.322	1.22759	0.230546	0.580799
13753	79.4066	1.32092	0.175858	0.684559
13754	77.7756	1.33124	0.140757	0.661217
13755	73.2549	1.35831	0.210049	0.687468
13756	113.743	1.30398	0.169781	0.531765
13757	92.276	1.32039	0.219187	0.642407
13758	81.4949	1.28114	0.191408	0.734317
13759	87.2196	1.31027	0.139102	0.590976
13760	87.2196	1.31027	0.139102	0.590976
13761	88.3869	1.29948	0.139632	0.625513
13762	88.3869	1.29948	0.139632	0.625513
13763	93.0128	1.34327	0.156649	0.627497
13764	121.032	1.30446	0.235738	0.545711
13765	141.511	1.28431	0.253351	0.449528
13766	121.444	1.30907	0.184765	0.462185
13767	121.444	1.30907	0.184765	0.462185
13768	121.444	1.30907	0.184765	0.462185
13769	114.596	1.38159	0.149729	0.436091
13770	81.2571	1.36177	0.216715	0.534399
13771	82.312	1.40841	0.225465	0.504637
13772	100.329	1.37448	0.137096	0.456372
13773	104.304	1.33864	0.198656	0.482216
13774	90.0086	1.32481	0.152008	0.583949
13775	90.0086	1.32481	0.152008	0.583949
13776	78.9083	1.31061	0.236788	0.70123
13777	76.9501	1.31967	0.230377	0.675288
13778	110.825	1.27714	0.18194	0.546012
13779	75.1831	1.33416	0.206538	0.642882
13780	95.7799	1.29023	0.175102	0.573942
13781	95.4985	1.33303	0.110593	0.542061
13782	95.4985	1.33303	0.110593	0.542061
13783	114.344	1.3126	0.175048	0.439015
13784	98.396	1.36357	0.141578	0.488617
13785	92.7463	1.3664	0.227791	0.538469
13786	92.7463	1.3664	0.227791	0.538469
13787	85.1863	1.3829	0.182385	0.533257
13788	85.1863	1.3829	0.182385	0.533257
13789	88.9443	1.41819	0.171496	0.522494
13790	88.5297	1.40169	0.160814	0.565642
13791	105.533	1.29894	0.161642	0.576689
13792	127.849	1.35661	0.192628	0.382306
13793	119.991	1.37254	0.190513	0.408393
13794	119.991	1.37254	0.190513	0.408393
13795	106.369	1.34131	0.133232	0.491255
13796	106.369	1.34131	0.133232	0.491255
13797	106.369	1.34131	0.133232	0.491255
13798	106.369	1.34131	0.133232	0.491255
13799	102.836	1.32751	0.150016	0.514491
13800	104.239	1.35209	0.18173	0.409806
13801	97.0002	1.31348	0.188866	0.539752
13802	76.942	1.41647	0.344903	0.490054
13803	102.365	1.42524	0.251705	0.423156
13804	90.9093	1.37425	0.280051	0.564321
13805	74.8135	1.40334	0.178633	0.631749
13806	99.6759	1.30994	0.299207	0.593358
13807	87.722	1.23963	0.246456	0.689418
13808	87.9953	1.32245	0.233418	0.582029
13809	87.9953	1.32245	0.233418	0.582029
13810	114.953	1.37727	0.168587	0.44849
13811	114.953	1.37727	0.168587	0.44849
13812	115.807	1.36123	0.219784	0.432919
13813	110.921	1.32925	0.151502	0.497269
13814	100.83	1.37305	0.171349	0.493245
13815	91.4668	1.32971	0.232537	0.596068
13816	91.4668	1.32971	0.232537	0.596068
13817	78.5063	1.35444	0.215991	0.673336
13818	73.1497	1.42637	0.195072	0.601231
13819	73.1497	1.42637	0.195072	0.601231
13820	99.1467	1.29937	0.182134	0.579771
13821	99.1467	1.29937	0.182134	0.579771
13822	88.7192	1.39418	0.160337	0.540129
13823	88.7192	1.39418	0.160337	0.540129
13824	80.7259	1.41781	0.17679	0.535326
13825	63.6781	1.38158	0.162712	0.725694
13826	84.8847	1.33483	0.123446	0.656443
13827	81.3838	1.35813	0.220834	0.552129
13828	100.057	1.34751	0.187538	0.492747
13829	86.0806	1.4028	0.181731	0.513754
13830	113.023	1.35289	0.244958	0.440455
13831	143.424	1.37185	0.227304	0.341253
13832	76.9598	1.34088	0.275358	0.673238
13833	75.9791	1.29534	0.244758	0.697965
13834	74.0299	1.3755	0.201636	0.659912
13835	79.5043	1.39541	0.278155	0.577292
13836	112.008	1.40688	0.17277	0.399015
13837	96.3716	1.41492	0.212085	0.433687
13838	73.6147	1.36276	0.103592	0.677726
13839	73.6147	1.36276	0.103592	0.677726
13840	61.8479	1.42102	0.16655	0.759701
13841	61.8479	1.42102	0.16655	0.759701
13842	74.1119	1.40746	0.187007	0.666258
13843	74.1119	1.40746	0.187007	0.666258
